,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF
0,196307,-0.39,-0.48,-0.81,0.64,-1.15,0.27
1,196308,5.08,-0.8,1.7,0.4,-0.38,0.25
2,196309,-1.57,-0.43,0.0,-0.78,0.15,0.27
3,196310,2.54,-1.34,-0.04,2.79,-2.25,0.29
4,196311,-0.86,-0.85,1.73,-0.43,2.27,0.27
5,196312,1.83,-1.89,-0.21,0.12,-0.25,0.29
6,196401,2.27,0.1,1.63,0.21,1.48,0.3
7,196402,1.55,0.33,2.81,0.11,0.81,0.26
8,196403,1.41,1.41,3.29,-2.03,2.98,0.31
9,196404,0.11,-1.48,-0.54,-1.32,-1.13,0.29
10,196405,1.41,-0.62,1.81,-0.15,0.13,0.26
11,196406,1.27,0.13,0.68,-0.33,0.1,0.3
12,196407,1.74,0.5,0.79,0.15,1.85,0.3
13,196408,-1.44,0.29,0.07,0.15,0.31,0.28
14,196409,2.69,-0.34,1.72,-0.5,0.56,0.28
15,196410,0.6,0.9,1.08,-0.2,0.52,0.29
16,196411,-0.01,-0.24,-2.04,0.71,-0.16,0.29
17,196412,0.04,-0.65,-2.43,0.95,-1.55,0.31
18,196501,3.54,2.5,0.36,0.94,-0.02,0.28
19,196502,0.44,3.24,0.22,0.26,-0.62,0.3
20,196503,-1.34,2.08,1.15,-0.29,0.65,0.36
21,196504,3.11,1.14,0.73,0.29,-2.27,0.31
22,196505,-0.78,0.05,-1.55,-0.42,0.59,0.31
23,196506,-5.51,-4.2,0.23,0.24,0.43,0.35
24,196507,1.44,1.1,2.19,-1.41,-0.08,0.31
25,196508,2.73,2.77,-0.98,2.03,-0.81,0.33
26,196509,2.86,0.7,-0.14,-0.85,0.73,0.31
27,196510,2.6,3.45,1.55,1.19,-0.76,0.31
28,196511,-0.02,5.22,0.16,-1.08,-0.87,0.35
29,196512,1.01,2.62,2.15,-1.3,-0.55,0.33
30,196601,0.72,4.85,3.27,-2.65,-0.26,0.38
31,196602,-1.21,4.79,0.38,-0.16,-1.45,0.35
32,196603,-2.51,0.21,-2.13,1.29,-0.05,0.38
33,196604,2.13,3.33,-0.36,0.42,-0.92,0.34
34,196605,-5.67,-5.11,-1.6,1.64,-1.48,0.41
35,196606,-1.44,1.32,0.49,0.08,0.79,0.38
36,196607,-1.63,-0.38,0.91,-0.38,1.74,0.35
37,196608,-7.94,-3.15,0.5,-0.64,0.77,0.41
38,196609,-1.06,-1.02,0.48,-1.19,2.35,0.4
39,196610,3.86,-6.48,2.74,-3.91,4.23,0.45
40,196611,1.38,3.34,-4.63,4.66,-6.51,0.4
41,196612,0.13,1.88,-0.95,0.17,-0.16,0.4
42,196701,8.15,8.98,2.36,1.29,-3.06,0.43
43,196702,0.77,3.01,-2.26,1.66,-0.93,0.36
44,196703,4.0,1.77,0.47,0.82,-1.5,0.39
45,196704,3.89,0.43,-2.29,3.09,-3.72,0.32
46,196705,-4.32,2.45,0.8,-1.19,1.62,0.33
47,196706,2.42,6.42,0.8,-0.84,-2.49,0.27
48,196707,4.58,3.58,2.75,0.45,2.66,0.32
